WATERYEAR OCT NOV DEC JAN FEB MAR APR MAY JUN JUL AUG SEP TOTAL
1921 38 157 275 468 320 535 421 525 375 71 12 6 3203
1922 14 39 131 113 360 325 480 1027 677 94 14 6 3280
1923 19 56 398 275 183 225 564 616 283 97 18 18 2752
1924 23 21 27 42 112 58 123 105 26 4 1 2 544
1925 13 57 86 87 598 312 600 613 273 60 11 7 2717
1926 20 33 54 48 261 200 479 212 66 13 0 1 1387
1927 13 181 142 222 775 447 728 617 432 75 13 9 3654
1928 17 113 99 109 138 989 536 396 98 20 4 2 2521
1929 12 28 38 42 99 148 211 358 180 30 2 1 1149
1930 11 12 162 144 151 328 357 285 160 27 7 8 1652
1931 17 34 21 57 75 140 173 136 47 8 3 4 715
1932 16 30 165 161 320 298 403 659 426 93 17 9 2597
1933 11 14 23 43 47 135 239 354 342 42 10 9 1269
1934 22 34 108 159 171 255 196 106 49 11 7 6 1124
1935 11 59 54 156 148 213 818 668 360 70 17 11 2585
1936 21 30 34 408 775 432 636 587 358 83 18 14 3396
1937 11 15 23 44 336 396 503 688 234 52 15 12 2329
1938 20 54 436 130 539 806 732 1011 599 134 31 20 4512
1939 30 41 44 50 70 222 326 175 57 15 6 12 1048
1940 28 19 28 468 611 847 628 511 199 40 13 14 3406
1941 15 44 249 345 473 449 445 720 282 85 23 17 3147
1942 18 49 325 583 554 286 626 717 557 155 32 17 3919
1943 17 154 278 691 374 930 590 446 264 87 25 18 3874
1944 19 24 31 58 144 234 216 472 194 46 14 9 1461
1945 11 120 124 97 560 259 417 550 282 70 15 10 2515
1946 35 143 544 308 155 342 513 549 203 49 13 13 2867
1947 18 88 87 50 172 305 302 263 96 19 9 7 1416
1948 47 43 28 170 74 147 532 634 446 87 19 12 2239
1949 14 35 54 48 87 351 516 531 167 29 14 10 1856
1950 12 26 25 301 335 342 588 598 325 82 19 12 2665
1951 40 985 1054 576 425 431 431 456 156 44 18 14 4630
1952 30 98 317 540 545 501 817 1136 671 241 56 24 4976
1953 20 30 99 454 155 218 469 486 511 164 31 16 2653
1954 16 54 65 123 210 450 542 364 115 33 14 11 1997
1955 12 29 114 133 103 154 240 485 222 42 19 13 1566
1956 13 29 1247 952 327 306 408 754 431 124 34 21 4646
1957 32 31 49 58 284 443 305 567 289 53 18 8 2137
1958 22 37 98 164 588 553 846 1057 537 131 38 21 4092
1959 15 23 24 149 204 200 283 205 86 16 7 15 1227
1960 12 13 20 63 348 431 359 283 121 20 6 4 1680
1961 9 50 39 31 123 157 237 273 117 5 0 5 1046
1962 10 14 51 47 418 247 554 420 261 40 4 3 2069
1963 335 45 178 259 712 234 652 761 281 63 17 17 3554
1964 32 201 83 156 107 126 292 395 187 37 14 2 1632
1965 11 64 1509 774 282 238 618 511 316 95 52 15 4485
1966 26 75 80 122 113 237 412 276 48 3 0 0 1392
1967 7 77 278 421 266 540 439 898 751 241 34 15 3967
1968 19 45 85 143 450 292 291 250 92 10 18 4 1699
1969 14 100 128 1090 495 367 675 943 469 116 25 23 4445
1970 28 50 336 1315 334 341 208 295 199 40 10 7 3163
1971 10 179 342 297 212 404 414 554 419 107 25 10 2973
1972 14 54 134 110 194 456 333 381 158 26 5 7 1872
1973 24 93 227 597 395 355 419 637 199 34 13 15 3008
1974 31 430 349 819 187 585 649 539 470 163 34 18 4274
1975 27 30 46 99 252 448 303 762 503 105 30 14 2619
1976 82 84 66 44 67 120 141 152 22 3 11 9 801
1977 15 10 3 22 27 42 75 100 55 0 0 0 349
1978 0 19 181 550 293 568 522 595 377 88 7 24 3224
1979 2 22 32 182 217 360 364 653 170 34 4 2 2042
1980 31 66 94 1208 717 403 407 487 299 127 19 13 3871
1981 19 18 42 92 136 268 292 216 45 0 0 0 1128
1982 42 531 838 529 897 688 1130 842 387 136 41 61 6122
1983 168 278 565 454 696 1167 605 983 942 382 90 50 6380
1984 49 722 947 379 288 380 319 493 237 50 22 17 3903
1985 36 188 102 70 141 200 435 283 79 14 5 24 1577
1986 21 69 154 358 1866 967 402 419 310 0 0 12 4578
1987 28 12 12 50 133 209 212 177 31 9 3 4 880
1988 9 15 89 161 93 140 165 128 51 1 0 0 852
1989 6 85 62 66 109 866 553 316 145 17 3 19 2247
1990 36 40 29 101 101 241 271 181 109 6 2 3 1120
1991 4 6 10 11 24 331 276 327 169 25 0 7 1190
1992 15 41 19 25 231 210 239 92 17 14 0 0 903
1993 14 19 128 521 361 659 516 668 386 96 19 10 3397
1994 15 16 47 44 95 163 189 184 43 3 0 6 805
1995 10 62 152 926 304 1172 755 988 730 342 81 26 5548
1996 10 9 184 340 824 573 559 811 257 67 21 14 3669
1997 15 143 1024 1988 338 295 360 335 153 32 11 10 4704
1998 19 49 91 514 727 587 582 699 787 265 42 33 4395
1999 20 86 146 367 698 436 414 644 375 83 25 19 3313
2000 19 34 41 316 678 431 438 466 160 45 12 19 2659
2001 19 21 34 51 105 228 253 255 32 13 2 6 1019
2002 6 54 183 227 217 355 425 370 148 19 7 7 2018
2003 1 61 188 239 160 267 414 641 267 35 11 5 2289
